trip_id,stop_id,stop_sequence,arrival_time,departure_time,pickup_type,drop_off_type
TI_583_20260328,TI:MILANO_CENTRALE,0,06:05:00,06:05:00,0,0
TI_583_20260328,TI:ROMA_OSTIENSE,1,13:51:00,13:51:00,0,0
TI_9511_20260328,TI:MILANO_CENTRALE,0,06:10:00,06:10:00,0,0
TI_9511_20260328,TI:ROMA_TERMINI,1,09:49:00,09:49:00,0,0
TI_651_20260328,TI:MILANO_CENTRALE,0,06:10:00,06:10:00,0,0
TI_651_20260328,TI:PISA_CENTRALE,1,10:35:00,10:35:00,0,0
TI_505_20260328,TI:GENOVA_PIAZZA_PRINCIPE,0,08:53:00,08:53:00,0,0
TI_505_20260328,TI:ROMA_TERMINI,1,14:48:00,14:48:00,0,0
TI_9605_20260328,TI:MILANO_CENTRALE,0,06:35:00,06:35:00,0,0
TI_9605_20260328,TI:ROMA_TERMINI,1,09:34:00,09:34:00,0,0
TI_1589_20260328,TI:MILANO_CENTRALE,0,06:55:00,06:55:00,0,0
TI_1589_20260328,TI:ROMA_OSTIENSE,1,15:09:00,15:09:00,0,0
TI_9607_20260328,TI:MILANO_CENTRALE,0,07:00:00,07:00:00,0,0
TI_9607_20260328,TI:ROMA_TERMINI,1,10:11:00,10:11:00,0,0
TI_9515_20260328,TI:MILANO_CENTRALE,0,07:10:00,07:10:00,0,0
TI_9515_20260328,TI:ROMA_TERMINI,1,10:49:00,10:49:00,0,0
TI_584_20260328,TI:BOLOGNA_CENTRALE,0,11:21:00,11:21:00,0,0
TI_584_20260328,TI:ROMA_TERMINI,1,16:20:00,16:20:00,0,0
TI_9508_20260328,TI:ROMA_TERMINI,0,06:00:00,06:00:00,0,0
TI_9508_20260328,TI:MILANO_CENTRALE,1,09:50:00,09:50:00,0,0
TI_670_20260328,TI:PISA_CENTRALE,0,11:33:00,11:33:00,0,0
TI_670_20260328,TI:MILANO_CENTRALE,1,15:59:00,15:59:00,0,0
TI_9608_20260328,TI:ROMA_TERMINI,0,06:50:00,06:50:00,0,0
TI_9608_20260328,TI:MILANO_CENTRALE,1,10:00:00,10:00:00,0,0
TI_9512_20260328,TI:ROMA_TERMINI,0,07:10:00,07:10:00,0,0
TI_9512_20260328,TI:MILANO_CENTRALE,1,10:50:00,10:50:00,0,0
TI_9610_20260328,TI:ROMA_TERMINI,0,07:20:00,07:20:00,0,0
TI_9610_20260328,TI:MILANO_CENTRALE,1,10:35:00,10:35:00,0,0
TI_9612_20260328,TI:ROMA_TERMINI,0,07:50:00,07:50:00,0,0
TI_9612_20260328,TI:MILANO_CENTRALE,1,10:58:00,10:58:00,0,0
TI_9516_20260328,TI:ROMA_TERMINI,0,08:10:00,08:10:00,0,0
TI_9516_20260328,TI:MILANO_CENTRALE,1,11:50:00,11:50:00,0,0
TI_9616_20260328,TI:ROMA_TERMINI,0,08:20:00,08:20:00,0,0
TI_9616_20260328,TI:MILANO_CENTRALE,1,11:35:00,11:35:00,0,0
TI_9618_20260328,TI:ROMA_TERMINI,0,08:50:00,08:50:00,0,0
TI_9618_20260328,TI:MILANO_CENTRALE,1,11:58:00,11:58:00,0,0
TI_9520_20260328,TI:ROMA_TERMINI,0,09:10:00,09:10:00,0,0
TI_9520_20260328,TI:MILANO_CENTRALE,1,12:50:00,12:50:00,0,0
TI_707_20260328,TI:CASSINO,0,16:59:00,16:59:00,0,0
TI_707_20260328,TI:NAPOLI_CENTRALE,1,18:21:00,18:21:00,0,0
TI_591_20260328,TI:ROMA_TERMINI,0,17:08:00,17:08:00,0,0
TI_591_20260328,TI:NAPOLI_CENTRALE,1,20:00:00,20:00:00,0,0
TI_9604_20260328,TI:MILANO_CENTRALE,0,07:30:00,07:30:00,0,0
TI_9604_20260328,TI:NAPOLI_CENTRALE,1,12:03:00,12:03:00,0,0
TI_9611_20260328,TI:MILANO_CENTRALE,0,08:00:00,08:00:00,0,0
TI_9611_20260328,TI:NAPOLI_CENTRALE,1,12:33:00,12:33:00,0,0
TI_510_20260328,TI:NAPOLI_CENTRALE,0,06:22:00,06:22:00,0,0
TI_510_20260328,TI:ROMA_TERMINI,1,09:46:00,09:46:00,0,0
TI_588_20260328,TI:ROMA_TERMINI,0,10:20:00,10:20:00,0,0
TI_588_20260328,TI:BOLOGNA_CENTRALE,1,14:47:00,14:47:00,0,0
TI_608_20260328,TI:BOLOGNA_CENTRALE,0,15:04:00,15:04:00,0,0
TI_608_20260328,TI:MILANO_CENTRALE,1,17:45:00,17:45:00,0,0
TI_9490_20260328,TI:NAPOLI_CENTRALE,0,07:09:00,07:09:00,0,0
TI_9490_20260328,TI:ROMA_TERMINI,1,08:20:00,08:20:00,0,0
TI_9620_20260328,TI:ROMA_TERMINI,0,09:25:00,09:25:00,0,0
TI_9620_20260328,TI:MILANO_CENTRALE,1,12:24:00,12:24:00,0,0
TI_9414_20260328,TI:NAPOLI_CENTRALE,0,08:09:00,08:09:00,0,0
TI_9414_20260328,TI:BOLOGNA_CENTRALE,1,11:58:00,11:58:00,0,0
TI_9806_20260328,TI:BOLOGNA_CENTRALE,0,12:18:00,12:18:00,0,0
TI_9806_20260328,TI:MILANO_CENTRALE,1,13:25:00,13:25:00,0,0
TI_9524_20260328,TI:NAPOLI_CENTRALE,0,08:40:00,08:40:00,0,0
TI_9524_20260328,TI:ROMA_TERMINI,1,09:50:00,09:50:00,0,0
TI_9624_20260328,TI:ROMA_TERMINI,0,10:20:00,10:20:00,0,0
TI_9624_20260328,TI:MILANO_CENTRALE,1,13:35:00,13:35:00,0,0
TI_723_20260328,TI:ROMA_TERMINI,0,06:10:00,06:10:00,0,0
TI_723_20260328,TI:NAPOLI_CENTRALE,1,09:27:00,09:27:00,0,0
TI_701_20260328,TI:ROMA_TERMINI,0,06:26:00,06:26:00,0,0
